pillar,image_type,title,output_filename,dimensions,composition,scene_prompt,palette
Critical Infrastructure,Capability,Cross-Agency Operations: Unified Municipal Intelligence,cap-cities-cross-agency.png,1200x750,,"Multi-agency operations center with large display wall showing city-wide service map. Abstract visual representation of overlapping service zones (police, fire, water, traffic, emergency management) displayed as layered data. Multiple agency workstations visible, operators coordinating across disciplines. Teal and cyber emerald accent lighting on displays. The convergence and unification of previously siloed municipal services into coordinated city-scale intelligence.","Intelligence navy (#0A1128) walls, teal/cyber emerald (#00D1B2) display glow, cool blue data visualization, safety amber coordination alerts, forest green service zone indicators"
Critical Infrastructure,Capability,Waste Management: Operational Logistics at City Scale,cap-cities-waste-mgmt.png,1200x750,,"Waste management transfer station at early morning light. Fleet of collection vehicles lined up, sorting equipment in operation, automated weighing systems and monitoring dashboards visible. Golden-hour sunlight illuminates the operational complexity and scale. The logistics backbone of urban waste management—material recovery, sorting, and routing intelligence. Functional, well-organized operational environment.","Golden hour amber light, steel equipment grays, safety orange vehicle accents, cyber emerald (#00D1B2) digital signage, concrete tones, forest green waste bins"
Critical Infrastructure,Capability,Water Infrastructure: Hidden Systems at Scale,cap-cities-water-infra.png,1200x750,,"Urban water infrastructure deep underground—pumping station or water main control valve in secure vault. Industrial-clean, functional design with heavy-gauge pipes, precision flow control systems, and sensor arrays. Gauges and digital monitors showing real-time flow rates. The critical, often invisible infrastructure that municipalities depend on for daily operations. Cinematic, well-lit to reveal technical detail.","Steel grays, concrete tones, safety amber gauges, cyber emerald (#00D1B2) digital displays, cool tungsten task lighting, forest green pipe coatings"
National Security,Capability,Air-Gapped Operations: Secure at the Edge,cap-defense-air-gapped.png,1200x750,,"Ruggedized server rack in secure field-deployable shelter or hardened facility. Military-grade equipment with no network cables visible, emphasizing air-gapped isolation principle. Minimal red operational lighting casts dramatic shadows across processing hardware and cooling systems. The self-contained, independent intelligence node. Complete operational autonomy without external connectivity.","Dim red (#DC2626) operational lighting, intelligence navy (#0A1128) enclosure, cool blue cooler exhaust, metallic equipment grays, accents of cyber emerald (#00D1B2) status indicators"
National Security,Capability,Perimeter Defense: Multi-Sensor Integration,cap-defense-perimeter.png,1200x750,,"Multi-sensor security installation mounted on a single mast in night setting. High-resolution camera, rotating radar dome, and fiber-optic sensor mounted in precise alignment. Infrared and thermal-style atmospheric glow creates a sense of invisible detection capability. Precision optics and metallurgy visible under operational lighting. Technology replacing traditional guard presence through continuous, tireless surveillance.","Intelligence navy (#0A1128) night sky, thermal oranges and lime greens, cool infrared highlights, matte black equipment, safety amber warning indicators"
National Security,Capability,Space Domain Awareness: Orbital Intelligence,cap-defense-space-domain.png,1200x750,,"Satellite tracking antenna or astronomical telescope pointed toward night sky. Star trails visible overhead, creating sense of continuous motion and celestial awareness. Ground-based space surveillance equipment in precise operational position. The intersection of installation security and orbital awareness—ground-based technology extending protection into space domain. Deep navy firmament with precision equipment silhouetted below.","Deep intelligence navy (#0A1128) sky, silver star trail light paths, cool blue ground equipment, forest green (#0f4c3a) landscape, white/amber targeting reticles"
Energy,Capability,Operator Guidance: AI-Augmented Decision Making,cap-energy-operator-guidance.png,1200x750,,"Control room operator workstation captured from over-shoulder or hands-on-console perspective (no face visible). Multiple curved screens display grid operations data, load forecasting, and AI guidance overlay in abstract geometric patterns. Teal screen glow dominates the darkened room, creating a sense of focused concentration and machine-augmented human decision-making. The convergence of operator experience and artificial intelligence guidance.","Teal/cyber emerald (#00D1B2) screen glow, intelligence navy (#0A1128) ambient darkness, safety amber accent indicators, cool blue data visualization"
Energy,Capability,Pipeline Monitoring: Sensors in the Field,cap-energy-pipeline.png,1200x750,,"Pipeline monitoring station mounted on industrial steel pipe in remote terrain. Precision instrumentation array: flow sensors, pressure gauges, temperature probes, and telemetry equipment mounted on a massive pipeline section. Golden hour light rakes across weathered metal surfaces and sensor equipment. Rugged outdoor setting emphasizing durability and precision detection in harsh environments.","Golden hour amber, steel grays, forest green vegetation in periphery, cyber emerald sensor indicators, matte metal finishes"
Energy,Capability,SCADA Integration: Legacy Meets Modern,cap-energy-scada-overlay.png,1200x750,,Close-up of industrial SCADA control panel with modern monitoring overlay integrated seamlessly. Legacy mechanical gauges and analog dials alongside crisp digital displays showing real-time data. Warm safety amber lighting illuminates aged equipment while teal glow from modern screens reflects across polished surfaces. The bridge between decades of operational history and contemporary intelligence.,"Safety amber (#F4A261), cyber emerald (#00D1B2), intelligence navy backgrounds, metallic grays, warm tungsten-tinted equipment"
Finance,Capability,Capability — Regulatory Compliance Intelligence,cap-finance-compliance.png,1200x750,"Centered, specific/close-up (bento card with dark bg below)","Abstract audit trail visualization — clean parallel lines flowing from left to right, each line connecting to a teal verification node. Suggests traceability, order, and lineage. Dark background with precise geometric composition.",Rich Charcoal `#1A1A1A` background; Cyber Emerald `#00D1B2` verification nodes; Forest Green `#0f4c3a` trail lines
Finance,Capability,Capability — Customer 360 Intelligence,cap-finance-customer-360.png,1200x750,"Centered, specific/close-up (bento card with dark bg below)",Close-up of multiple translucent data layers converging — like stacked holographic cards aligning into one. Teal and amber light edges. Abstract representation of identity resolution — many becoming one.,Rich Charcoal `#1A1A1A` background; Cyber Emerald `#00D1B2` aligned layers; Safety Amber `#F4A261` convergence point
Finance,Capability,Capability — NPA Early Warning,cap-finance-npa-warning.png,1200x750,"Centered, specific/close-up (bento card with dark bg below)",Close-up of an amber signal emerging through a smooth dark surface — like a warning light rising from below. Subtle teal grid lines on the surface. Single focused composition suggesting early detection.,Rich Charcoal `#1A1A1A` surface; Safety Amber `#F4A261` warning signal (hero element); Cyber Emerald `#00D1B2` grid lines
Energy,Capability,Operator Guidance: Augmented Manufacturing Intelligence,cap-industrial-operator-guidance.png,1200x750,,"Factory floor operator station captured without showing face—HMI touchscreen display showing process controls with AI guidance overlay displayed as abstract geometric patterns and predictive indicators. Robotic manufacturing equipment visible in sharp focus behind operator. The augmented operator concept: technology extending and amplifying human capability through real-time guidance, anomaly detection, and optimization recommendations.","Cyber emerald (#00D1B2) HMI glow, safety amber warning states, cool blue process data, industrial grays and blacks, white task lighting, forest green safety markings"
Energy,Capability,Quality Intelligence: Precision Manufacturing Inspection,cap-industrial-quality.png,1200x750,,"Quality inspection station on active production line. Advanced vision system cameras mounted above moving products, laser measurement equipment, automated sorting arms, and real-time quality feedback displays. Products flowing through multi-point inspection with precision detection. Clean, well-lit facility emphasizing manufacturing excellence. The convergence of optical intelligence, precision measurement, and automated decision-making.","Bright white task lighting, steel equipment grays, cyber emerald (#00D1B2) camera indicators, safety amber quality alerts, clean facility neutrals, red reject bins"
Critical Infrastructure,Capability,Commercial Operations: Data Center Intelligence,cap-infra-commercial-ops.png,1200x750,,"Data center monitoring environment with rows of server cabinets extending into depth. Equipment status indicator lights creating pattern of green and amber across racks. Overhead cable management infrastructure visible, creating geometric visual interest. Cool blue lighting from operational equipment and temperature control systems. Commercial infrastructure at massive scale—organized, efficient, continuously monitored.","Cool blue LED indicators and ambient lighting, intelligence navy (#0A1128) cabinet bodies, cyber emerald (#00D1B2) active status lights, safety amber warning indicators, metallic silvers, white/cool white cable management"
Critical Infrastructure,Capability,Fault Remediation: Field Operations Intelligence,cap-infra-fault-remediation.png,1200x750,,"Telecommunications technician's workstation at cell site tower (no face visible). Precision test instruments, fiber-optic splice equipment, specialty tools, and monitoring equipment arranged on technical workbench. Tower infrastructure visible in sharp background detail. The field reality of network fault resolution—specialized equipment, technical expertise, and real-time diagnostic capability at network edge.","Metallic grays and silvers, cool blue test equipment displays, safety amber diagnostic alerts, cyber emerald (#00D1B2) fiber optic indicators, sky tones in background, white task lighting"
Networks,Hero,Broadcast & Media Operations,industry-broadcast-media.png,1920x1080,,"Professional broadcast operations center in controlled darkness. Wall of multiple monitors displaying live feeds and data streams in crisp, distinct colors. Mixing consoles, transmission equipment, and technical infrastructure occupy the foreground. Dramatic lighting from screen displays casts teal-blue and cyan light across darkened surfaces, creating atmospheric contrast. Satellite uplink visible through window in background.","Cyber emerald screen glow, intelligence navy darkened room, charcoal equipment"
Finance,Hero,Hero — Finance Industry Page,industry-finance.png,1920x1080,"Subject right, text space left (60% dark overlay applied in CSS)",Modern Latin American banking operations center at dusk. Rows of curved glass-walled offices visible from an elevated exterior angle. Warm amber interior lighting contrasts with deep teal-navy exterior sky. Silhouettes of operators at workstations visible through glass. Abstract data visualization patterns reflected in the glass facade — suggesting intelligence flowing through the building's systems.,Deep Intelligence Navy `#0A1128` sky; Safety Amber `#F4A261` interior glow; Cyber Emerald `#00D1B2` subtle data reflections; Rich Charcoal `#1A1A1A` building structure
Networks,Hero,Space & Satellite Communications,industry-space-satcom.png,1920x1080,,"Satellite ground station at twilight with massive parabolic dish antennas tilted against a deep blue-purple sky. Operations facility glows warmly in the background with interior lights spilling across surrounding terrain. Stars emerging overhead. Ground-level perspective looking upward at the towering dishes. Visible cables, support structures, and steel infrastructure create intricate geometry.","Intelligence navy sky, safety amber facility lights, steel grey infrastructure"
Critical Infrastructure,Hero,Transportation & Logistics,industry-transportation.png,1920x1080,,Major container port at dawn with massive gantry cranes actively loading a container ship. Stacked containers in precise geometric rows recede into the background. Cargo aircraft visible in the far sky breaking through morning clouds. Warm amber light from the rising sun reflects across water and polished metal surfaces. Morning mist wraps around the base of cranes and containers.,"Warm amber dawn light, navy water, steel grey cranes and containers"
Critical Infrastructure,Hero,Water & Environment,industry-water-environment.png,1920x1080,,Large water treatment facility at golden hour with concrete channels and industrial pipes carrying water through multiple treatment stages. Lush green vegetation and natural landscape surrounds and contrasts with the engineered infrastructure. Slightly elevated perspective showing the full scale of the treatment system. Mist rising off flowing water catches late-day light.,"Forest green vegetation, amber golden hour light, steel grey concrete and pipes"
National Security,Hero,Counter-Cartel Operations,ni-counter-cartel.png,1920x1080,,"Nighttime tropical port or waterway. Shipping containers stacked on docks. Dark water reflecting scattered industrial work lights. A patrol vessel or security craft visible in the middle distance. Searchlights cutting through coastal mist. High-contrast, moody maritime security operations. Amber and navy lighting. Subject positioned right; dark overlay 60%; text space left.","Deep navy, amber, cyber emerald, reflection highlights"
National Security,Hero,National Intelligence Operations Hub,ni-hub.png,1920x1080,,Modern security operations center with floor-to-ceiling windows overlooking a sprawling Latin American cityscape at dusk. Large multi-panel displays show abstract data visualizations and maps. City lights begin to twinkle across the landscape. Tropical hillside vegetation frames the horizon. An amber sky transitions to deep navy blue. Subject positioned right; dark overlay 60%; text space left.,"Amber, forest green, intelligence navy, charcoal"
National Security,Hero,Resource & Territory Protection,ni-resource-protection.png,1920x1080,,"Aerial dawn perspective over tropical forest landscape. Dense green canopy dominates the left side. A pipeline corridor or infrastructure corridor cuts through on the right—cleared but maintained with environmental reverence. A river winds through the transition, catching early morning mist. Golden sunrise light filters through forest canopy. Conveys sovereignty and stewardship. Subject positioned right; dark overlay 60%; text space left.","Deep forest green, mist whites, amber dawn light, intelligence navy sky"
National Security,Hero,Youth Vulnerability & Community Resilience,ni-youth-vulnerability.png,1920x1080,,"Aerial view descending into a dense Latin American urban neighborhood. Tightly packed colorful buildings with weathered facades. Narrow pedestrian streets, small plazas, community infrastructure visible—schools, markets, gathering spaces. Late afternoon long shadows cutting across the rooftops. The scene conveys community life and resilience, not dystopia. Subject positioned right; dark overlay 60%; text space left.","Desaturated earth tones, forest green accents, warm afternoon light, charcoal shadows"
Critical Infrastructure,Hero,Airport Operations,solution-airport-operations.png,1920x1080,,"Airport airside during dusk with illuminated taxiways and guidance lights, aircraft positioned at gates, ground service vehicles in coordinated movement patterns, control tower visible in distant background. Blue-hour sky providing dramatic backdrop for orchestrated air traffic operations.","Deep intelligence navy sky, cool blue guidance lights, safety amber tarmac marking, warm control tower lighting, cool twilight overall"
Cross-Pillar,Hero,Asset Monitoring,solution-asset-monitoring.png,1920x1080,,"Industrial facility interior at twilight with complex piping systems, cylindrical tanks, and wall-mounted sensors. Oil refinery or chemical plant with warm safety lighting and thin plumes of steam rising from equipment. Close perspective emphasizing instrumentation clusters and analog gauges.","Deep grays, industrial safety amber, forest green accent, warm golden light pools"
Finance,Hero,Hero — Claims Classification Intelligence,solution-claims-classification.png,1920x1080,"Subject right, text space left (60% dark overlay applied in CSS)","Abstract sorting/classification visualization — streams of geometric shapes (representing claims) flowing through a teal-lit classification gate. Some shapes route left (amber glow — to underwriters), most route right (emerald glow — auto-processed). Dark charcoal background. Clean, minimal, suggests intelligent triage without being literal.",Rich Charcoal `#1A1A1A` background; Cyber Emerald `#00D1B2` auto-processed path; Safety Amber `#F4A261` underwriter path; Intelligence Navy `#0A1128` classification gate
Critical Infrastructure,Hero,Corridor Intelligence,solution-corridor-intelligence.png,1920x1080,,"Aerial view of major transportation corridor revealing parallel highway, rail line, and waterway at dawn. Intermodal transfer point where cargo shifts between transport modes. Early morning light with cool shadows emphasizing infrastructure interconnections.","Warm dawn golds, cool shadow blues, dark asphalt and rail grays, water reflection cyans, forest green vegetation"
Finance,Hero,Hero — Credit Risk Intelligence,solution-credit-risk.png,1920x1080,"Subject right, text space left (60% dark overlay applied in CSS)","Abstract network visualization — interconnected nodes of varying sizes representing different financial products (loans, lines, mortgages, cards, guarantees). Connections between nodes glow in teal and amber, showing cross-product relationships. Larger nodes represent higher exposure concentration. Dark charcoal background with depth.",Rich Charcoal `#1A1A1A` background; Cyber Emerald `#00D1B2` connection lines; Safety Amber `#F4A261` high-exposure nodes; Forest Green `#0f4c3a` standard nodes
Finance,Hero,Hero — Customer 360 Intelligence,solution-customer-360.png,1920x1080,"Subject right, text space left (60% dark overlay applied in CSS)","Abstract convergence visualization — multiple translucent data streams in teal, amber, and emerald flowing from different directions and merging into a single bright focal point. Dark charcoal background. The streams suggest different banking systems (each a different color temperature) resolving into one unified view. Geometric, clean, slightly organic curves.",Rich Charcoal `#1A1A1A` background; Cyber Emerald `#00D1B2` primary streams; Safety Amber `#F4A261` secondary streams; Forest Green `#0f4c3a` tertiary streams
