pillar,image_type,title,output_filename,dimensions,scene_prompt,palette
Airport Operations,solution_hero,Aerial view of airport taxiways at night with aircraft position lights creating geometric patterns,solution-airport-operations.png,1920x1080,"Aerial view of airport taxiways at night, aircraft position lights creating geometric patterns on dark tarmac, the choreography of precision guidance systems in a 2030 world of ambient connectivity and IoT everywhere. Cinematic large-format photograph in the style of Ron Fricke's Samsara, with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Visible Bayer matrix ordered dithering throughout — smooth gradients broken into stepped bands, color depth artificially reduced, the way a beautiful film frame looks when compressed through early 90s digital video processing. Forest green (#0f4c3a) dithered tones with teal (#00D1B2) in highlights. Rich cinematic photography artificially compressed — visible dithering bands in gradients, limited color palette, the warmth of 90s analog video meets digital compression artifacts. Wide composition shot from high altitude, geometric precision with room for text overlay.",Green + Teal
Asset Health,solution_hero,Bridge structural health sensors bolted to massive steel infrastructure,solution-asset-monitoring.png,1920x1080,"Extreme macro of bridge structural health sensors bolted to massive steel girders, small IoT sensing devices mounted on immense infrastructure—the 2030 sensing mesh monitoring legacy systems. Cinematic large-format photograph in the style of Ron Fricke's Samsara, with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Visible Bayer matrix ordered dithering throughout — smooth gradients broken into stepped bands, color depth artificially reduced, the way a beautiful film frame looks when compressed through early 90s digital video processing. Forest green (#0f4c3a) dithered tones with amber (#F4A261) in highlights. Rich cinematic photography artificially compressed — visible dithering bands in gradients, limited color palette, the warmth of 90s analog video meets digital compression artifacts.",Green + Amber
Claims Classification,solution_hero,Automated warehouse sorting system from above at speed,solution-claims-classification.png,1920x1080,"Overhead view of a fully automated warehouse sorting system, thousands of packages moving through classification belts at inhuman speed—meaning applied at planetary scale through mass automation. Cinematic large-format photograph in the style of Ron Fricke's Samsara, with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Visible Bayer matrix ordered dithering throughout — smooth gradients broken into stepped bands, color depth artificially reduced, the way a beautiful film frame looks when compressed through early 90s digital video processing. Forest green (#0f4c3a) dithered tones with brass (#C4944A) in highlights. Rich cinematic photography artificially compressed — visible dithering bands in gradients, limited color palette, the warmth of 90s analog video meets digital compression artifacts.",Green + Brass
Corridor Intelligence,solution_hero,Highway interchange at night with flowing light ribbons,solution-corridor-intelligence.png,1920x1080,"Highway interchange at night, slow-shutter photography creating flowing light ribbons of traffic through concrete infrastructure—throughput made visible by the 2030 IoT sensing system tracking every vehicle. Cinematic large-format photograph in the style of Ron Fricke's Samsara, with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Visible Bayer matrix ordered dithering throughout — smooth gradients broken into stepped bands, color depth artificially reduced, the way a beautiful film frame looks when compressed through early 90s digital video processing. Forest green (#0f4c3a) dithered tones with teal (#00D1B2) in highlights. Rich cinematic photography artificially compressed — visible dithering bands in gradients, limited color palette, the warmth of 90s analog video meets digital compression artifacts.",Green + Teal
Credit Risk,solution_hero,Precision balance scale mechanism in macro with brass pivot,solution-credit-risk.png,1920x1080,"Real-time predictive analytics dashboard with probability curves in equilibrium, brass-colored status indicators showing perfect balance point—institutional measurement and financial governance in the 2030 data-driven world. Cinematic large-format photograph in the style of Ron Fricke's Samsara, with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Visible Bayer matrix ordered dithering throughout — smooth gradients broken into stepped bands, color depth artificially reduced, the way a beautiful film frame looks when compressed through early 90s digital video processing. Forest green (#0f4c3a) dithered tones with brass (#C4944A) in highlights on dashboard elements. Rich cinematic photography artificially compressed — visible dithering bands in gradients, limited color palette, the warmth of 90s analog video meets digital compression artifacts.",Green + Brass
Customer 360,solution_hero,Grand train station concourse from above with flow patterns,solution-customer-360.png,1920x1080,"Grand train station concourse photographed from directly above, hundreds of travelers creating flow patterns across marble floor—individual paths becoming system behavior, each person a data point in the 2030 sensing infrastructure. Cinematic large-format photograph in the style of Ron Fricke's Samsara, with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Visible Bayer matrix ordered dithering throughout — smooth gradients broken into stepped bands, color depth artificially reduced, the way a beautiful film frame looks when compressed through early 90s digital video processing. Forest green (#0f4c3a) dithered tones with amber (#F4A261) in highlights. Rich cinematic photography artificially compressed — visible dithering bands in gradients, limited color palette, the warmth of 90s analog video meets digital compression artifacts.",Green + Amber
Environmental Compliance,solution_hero,Terraced rice paddies from satellite altitude layered water management,solution-environmental-compliance.png,1920x1080,"Terraced rice paddies photographed from satellite altitude, layered water management carved into mountainside over centuries, each terrace a compliance boundary within the 2030 environmental sensing grid. Cinematic large-format photograph in the style of Ron Fricke's Samsara, with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Visible Bayer matrix ordered dithering throughout — smooth gradients broken into stepped bands, color depth artificially reduced, the way a beautiful film frame looks when compressed through early 90s digital video processing. Monochrome forest green (#0f4c3a) dithered on white. Rich cinematic photography artificially compressed — visible dithering bands in gradients, limited color palette, the warmth of 90s analog video meets digital compression artifacts.",Monochrome Green
Fleet Health,solution_hero,Murmuration of starlings at dusk forming coherent shape,solution-fleet-health.png,1920x1080,"Murmuration of thousands of starlings at dusk, forming a coherent shape against amber sky—autonomous coordination without central command, the 2030 vision of distributed fleet health monitoring at scale. Cinematic large-format photograph in the style of Ron Fricke's Samsara, with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Visible Bayer matrix ordered dithering throughout — smooth gradients broken into stepped bands, color depth artificially reduced, the way a beautiful film frame looks when compressed through early 90s digital video processing. Forest green (#0f4c3a) dithered tones with amber (#F4A261) in the sky highlights. Rich cinematic photography artificially compressed — visible dithering bands in gradients, limited color palette, the warmth of 90s analog video meets digital compression artifacts.",Green + Amber
Fleet and Logistics,solution_hero,Rail yard from above with parallel tracks and switching points,solution-fleet-logistics.png,1920x1080,"Rail yard from above, dozens of parallel tracks with switching points, trains being sorted and routed—logistics as choreography, the 2030 planetary coordination system visible in every connection. Cinematic large-format photograph in the style of Ron Fricke's Samsara, with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Visible Bayer matrix ordered dithering throughout — smooth gradients broken into stepped bands, color depth artificially reduced, the way a beautiful film frame looks when compressed through early 90s digital video processing. Forest green (#0f4c3a) dithered tones with teal (#00D1B2) in highlights. Rich cinematic photography artificially compressed — visible dithering bands in gradients, limited color palette, the warmth of 90s analog video meets digital compression artifacts.",Green + Teal
Grid Health,solution_hero,Power line corridor from drone altitude with transmission towers,solution-grid-operations.png,1920x1080,"Power line corridor from drone altitude receding to vanishing point through green landscape, transmission towers in repeating rhythm—the grid as the backbone of 2030 planetary intelligence infrastructure. Cinematic large-format photograph in the style of Ron Fricke's Samsara, with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Visible Bayer matrix ordered dithering throughout — smooth gradients broken into stepped bands, color depth artificially reduced, the way a beautiful film frame looks when compressed through early 90s digital video processing. Forest green (#0f4c3a) dithered tones with amber (#F4A261) in sunset highlights. Rich cinematic photography artificially compressed — visible dithering bands in gradients, limited color palette, the warmth of 90s analog video meets digital compression artifacts.",Green + Amber
