pillar,image_type,title,output_filename,dimensions,scene_prompt,palette
Airport Operations,solution_hero,Aerial view of airport taxiways at night with aircraft position lights creating geometric patterns,solution-airport-operations.png,1920x1080,"Cinematic documentary photograph of airport taxiway guidance system at night. Runway markings, precision guidance lights, instrument landing system infrastructure creating geometric order in darkness. Foreground: amber guide lights in sharp focus, taxiway markers creating leading lines; background: terminal lights and aircraft position lights bokeh at distance. Composition divides horizontally—guidance lights anchoring lower two-thirds, night sky and terminal glow upper third. Lighting: sodium vapor amber guide lights, cool LED approach lighting, natural darkness emphasizing illuminated pathways. Shot on 35mm lens, f/2.8 aperture. Kodak Portra 800 film stock. Warm analog color palette — forest green (#0f4c3a) shadows on taxiway asphalt, safety amber (#F4A261) guide light trails as focal highlights. Fine organic film grain. Natural vignetting. Editorial documentary quality. The image feels like precision in chaos—the viewer is inside the orchestrated world of night aircraft operations. No typography, no logos, no words, no lettering of any kind, no identifiable human faces.","forest green,safety amber"
Asset Health,solution_hero,Bridge structural health sensors bolted to massive steel infrastructure,solution-asset-monitoring.png,1920x1080,"Cinematic documentary photograph of structural monitoring sensor installation on weathered steel bridge truss. Steel beam with visible rust patina, bolt cluster, strain gauge sensor mounted in mid-frame. Foreground: micro stress lines visible on brushed steel surface; background: secondary trusses and cables receding with bokeh. Composition divides vertically—left two-thirds main beam structure and sensor detail, right third supporting trusses and sky. Lighting: side-lit golden hour light catching rust texture and stress lines, cool shadow areas in bolt crevices. Shot on 35mm lens, f/2.8 aperture. Kodak Portra 800 film stock. Warm analog color palette — forest green (#0f4c3a) shadows in structural detail, teal (#00D1B2) rim light on sensor housing and worn edges catching sky. Fine organic film grain. Natural vignetting. Editorial documentary quality. The image feels like trust through inspection—the viewer is witnessing continuous vigilance over aging infrastructure. No typography, no logos, no words, no lettering of any kind, no identifiable human faces.","forest green,teal"
Claims Classification,solution_hero,Automated warehouse sorting system from above at speed,solution-claims-classification.png,1920x1080,"Cinematic documentary photograph of automated warehouse routing and classification infrastructure. Overhead view of conveyor belt system with multiple sortation chutes dividing payload streams. Foreground: packages flowing into classifier with motion blur suggesting velocity; background: multiple sorted streams in color-coded chute destinations. Composition divides horizontally—conveyor and routing mechanism upper two-thirds, sorted output streams lower third. Lighting: bright industrial overhead LED (5600K) revealing layered packet flow, sharp shadows from chute geometry creating visual rhythm. Shot on 35mm lens, f/2.8 aperture. Kodak Portra 800 film stock. Warm analog color palette — forest green (#0f4c3a) shadows on conveyor structure, brass (#C4944A) light reflecting off metal chute geometry and sorting hardware. Fine organic film grain. Natural vignetting. Editorial documentary quality. The image feels like invisible sorting—the viewer is inside the automated decision-making world of logistics precision. No typography, no logos, no words, no lettering of any kind, no identifiable human faces.","forest green,brass"
Corridor Intelligence,solution_hero,Highway interchange at night with flowing light ribbons,solution-corridor-intelligence.png,1920x1080,"Cinematic documentary photograph of intelligent transportation corridor sensor network at dusk. Multi-lane highway section with embedded lane control sensors, dynamic signage, and vehicle flow. Foreground: road surface showing sensor grid patterns and road markings in sharp focus; background: electronic signage and distant traffic flow bokeh. Composition divides horizontally—road surface and sensor grid upper two-thirds, signage and sky lower third. Lighting: transition from dusk natural light to electronic signage illumination, cool LED on dynamic lane assignments, amber emergency markers. Shot on 35mm lens, f/2.8 aperture. Kodak Portra 800 film stock. Warm analog color palette — forest green (#0f4c3a) shadows on asphalt and sensor enclosures, amber-teal (#F4A261 and #00D1B2) electronic signage creating directional flow emphasis. Fine organic film grain. Natural vignetting. Editorial documentary quality. The image feels like synchronized flow—the viewer is inside the managed choreography of modern transportation networks. No typography, no logos, no words, no lettering of any kind, no identifiable human faces.","forest green,amber-teal"
Credit Risk,solution_hero,Precision balance scale mechanism in macro with brass pivot,solution-credit-risk.png,1920x1080,"Cinematic documentary photograph of financial risk assessment control systems in action. Control room monitor displaying credit risk scoring dashboard with real-time data matrices and green/amber risk indicators. Foreground: operator hands at precision control interface with mechanical indicator needles or electronic status displays in sharp focus; background: additional monitoring displays and facility equipment bokeh. Composition divides vertically—left two-thirds control station with detailed metrics, right third surrounding infrastructure. Lighting: studio-quality brass accent task lighting on console, cool overhead LED on displays, harsh side lighting emphasizing precision engineering and control. Shot on 35mm lens, f/2.8 aperture. Kodak Portra 800 film stock. Warm analog color palette — forest green (#0f4c3a) shadows on console structure, warm brass (#C4944A) highlights on mechanical components and task lighting creating balance emphasis. Fine organic film grain. Natural vignetting. Editorial documentary quality. The image feels like measured risk—the viewer is witnessing the calculus of financial equilibrium. No typography, no logos, no words, no lettering of any kind, no identifiable human faces.","forest green,brass"
Customer 360,solution_hero,Grand train station concourse from above with flow patterns,solution-customer-360.png,1920x1080,"Cinematic documentary photograph of urban customer journey infrastructure in busy transit hub. Overhead view of train station concourse or airport terminal showing flow of movement, multiple passenger streams, and wayfinding infrastructure. Foreground: passenger flow patterns creating ethereal motion trails in mid-focus; background: platforms and destination signage bokeh. Composition divides horizontally—motion blur of customer movement upper two-thirds, infrastructure and wayfinding lower third. Lighting: bright overhead industrial lighting (5600K) with natural light from skylights creating shadow grid, amber directional accent lighting on signage. Shot on 35mm lens, f/2.8 aperture. Kodak Portra 800 film stock. Warm analog color palette — forest green (#0f4c3a) in structural shadows, amber (#F4A261) accent lighting on directional signage creating wayfinding emphasis. Fine organic film grain. Natural vignetting. Editorial documentary quality. The image feels like observed patterns—the viewer is inside the aggregated world of customer behavior at scale. No typography, no logos, no words, no lettering of any kind, no identifiable human faces.","forest green,amber"
Environmental Compliance,solution_hero,Terraced rice paddies from satellite altitude layered water management,solution-environmental-compliance.png,1920x1080,"Cinematic documentary photograph of smart water management and environmental monitoring infrastructure. Water treatment or recirculation system showing measured flow, filtration media, and environmental sensors. Foreground: clear water flowing over precision stone ledge or through treatment media with silk motion blur on liquid surfaces; background: treatment basin or environmental monitoring equipment bokeh. Composition divides vertically—flowing water and treatment architecture left two-thirds, monitoring equipment and sensors right third. Lighting: overcast natural daylight revealing water clarity and treatment effectiveness, cool environmental sensor lighting emphasizing measurement precision. Shot on 35mm lens, f/2.8 aperture. Kodak Portra 800 film stock. Monochrome forest green (#0f4c3a) palette throughout emphasizing purity and measured stewardship—no warm accents, cool shadows in basin structure. Fine organic film grain. Natural vignetting. Editorial documentary quality. The image feels like environmental fidelity—the viewer is witnessing the stewardship of natural systems through precision infrastructure. No typography, no logos, no words, no lettering of any kind, no identifiable human faces.","forest green"
Fleet Health,solution_hero,Murmuration of starlings at dusk forming coherent shape,solution-fleet-health.png,1920x1080,"Cinematic documentary photograph of fleet health monitoring and coordination infrastructure. Mobile asset yard or fleet management facility showing multiple vehicles in organized array with visible condition monitoring sensors and health indicators. Foreground: fleet vehicle with mounted sensor arrays and health status lights in sharp focus; background: additional vehicles and monitoring station bokeh. Composition divides vertically—primary vehicle and sensor detail left two-thirds, fleet coordination infrastructure right third. Lighting: dusk transition light with teal fleet health indicator lights creating receiver geometry, cool accent lighting on sensor mounts. Shot on 35mm lens, f/2.8 aperture. Kodak Portra 800 film stock. Warm analog color palette — forest green (#0f4c3a) shadows on vehicle structure and tarmac, teal (#00D1B2) rim light on sensor arrays and health status indicators as focal highlights. Fine organic film grain. Natural vignetting. Editorial documentary quality. The image feels like coordinated presence—the viewer is inside the monitored world of distributed fleet intelligence. No typography, no logos, no words, no lettering of any kind, no identifiable human faces.","forest green,teal"
Fleet Logistics,solution_hero,Rail yard from above with parallel tracks and switching points,solution-fleet-logistics.png,1920x1080,"Cinematic documentary photograph of rail switching and logistics routing infrastructure. Railway junction showing multiple tracks, automated switches, and routing decision points at precision. Foreground: diverging rail lines and switch mechanism in sharp focus showing precise geometric separation; background: multiple parallel tracks and terminal infrastructure bokeh. Composition divides vertically—switching mechanism and diverging rails left two-thirds, parallel track array right third. Lighting: strong side light catching polished rail surfaces and switch geometry, amber accent lighting on active switching points, shadows emphasizing routing precision. Shot on 35mm lens, f/2.8 aperture. Kodak Portra 800 film stock. Warm analog color palette — forest green (#0f4c3a) shadows on ballast and switch pedestal, amber (#F4A261) polished rail highlights and active switch point indicators as focal anchors. Fine organic film grain. Natural vignetting. Editorial documentary quality. The image feels like distributed routing—the viewer is inside the decision-making moment of logistics precision. No typography, no logos, no words, no lettering of any kind, no identifiable human faces.","forest green,amber"
Grid Health,solution_hero,Power line corridor from drone altitude with transmission towers,solution-grid-operations.png,1920x1080,"Cinematic documentary photograph of electrical grid monitoring and health infrastructure. Utility substation showing transmission line connections, insulator arrays, and grid health sensor deployment. Foreground: ceramic insulator stack or transmission equipment with health monitoring sensors in sharp focus; background: substation equipment and grid infrastructure bokeh. Composition divides vertically—primary insulator or equipment stack left two-thirds, grid infrastructure and sky right third. Lighting: bright overhead industrial LED (5000K+) illuminating insulator detail, warm amber accent light from operational indicators, cool shadows emphasizing insulator geometry. Shot on 35mm lens, f/2.8 aperture. Kodak Portra 800 film stock. Warm analog color palette — forest green (#0f4c3a) shadows in equipment enclosures and structural base, amber (#F4A261) rim light on ceramic insulator elements creating electrical precision emphasis. Fine organic film grain. Natural vignetting. Editorial documentary quality. The image feels like distributed vigilance—the viewer is witnessing electrical integrity through continuous sensing. No typography, no logos, no words, no lettering of any kind, no identifiable human faces.","forest green,amber"
