pillar,image_type,title,output_filename,dimensions,scene_prompt,palette
Networks,Hero,Networks Vertical Hero,industry-networks.png,1920x1080,"Cinematic twilight photograph of converging telecommunications infrastructure: satellite ground station dishes and terrestrial cell towers sharing the same facility compound. Multiple satellite antennas of varying sizes pointing at different orbital positions alongside modern 5G tower arrays. Warm golden hour lighting from the left mixing with cool blue twilight sky. Data visualization overlays showing connectivity paths from ground to orbit rendered as subtle luminous trails. Professional industrial photography aesthetic with shallow depth of field on the nearest dish. Hyper-realistic, no text, no people.","Deep twilight blue sky; warm golden infrastructure lighting; Cyber Emerald #00D1B2 data trails; Rich Charcoal #1A1A1A shadows"
Networks,Challenge Icon,Multi-Vendor NMS Fragmentation,challenge-networks-nms-fragment.png,400x400,"Minimal 3D abstract icon: 5-7 separate monitoring screen shapes arranged in a chaotic cluster, each displaying different vendor-specific data formats. No unified connection between them. An overwhelmed operator position in the center trying to watch all screens simultaneously. Fragmentation and tool sprawl aesthetic. Clean isometric perspective on transparent dark background. Simple, iconic, immediately readable.","Rich Charcoal #1A1A1A background; each screen a different color temperature; Safety Amber #F4A261 operator stress indicator"
Networks,Challenge Icon,Fault Correlation Across Domains,challenge-networks-fault-correlation.png,400x400,"Minimal 3D abstract icon: four domain layers stacked vertically — terrestrial tower, backhaul link, satellite gateway, orbital satellite — each with its own isolated alert indicator. Red fault markers on multiple layers but no correlation lines connecting them. The question mark of which domain caused the failure. Clean isometric on dark background.","Rich Charcoal #1A1A1A background; Red #DC2626 fault markers; Cyber Emerald #00D1B2 domain layers; Safety Amber #F4A261 question mark"
Networks,Challenge Icon,Multi-Orbit Complexity,challenge-networks-multi-orbit.png,400x400,"Minimal 3D abstract icon: concentric orbital rings at different altitudes and inclinations — GEO (high, stable), MEO (mid), LEO (low, dense with many small satellites). The rings overlap and intersect creating visual complexity. Static monitoring dashboard shape below that cannot keep up with the dynamic orbital mechanics above. Clean isometric on dark background.","Intelligence Navy #0A1128 background; Different Cyber Emerald shades per orbit; Safety Amber #F4A261 complexity intersections; Red #DC2626 overwhelmed dashboard"
Networks,Challenge Icon,Revenue Leakage Across Transport Layers,challenge-networks-revenue-leakage.png,400x400,"Minimal 3D abstract icon: a revenue container split into terrestrial and satellite halves. Both halves have gaps at the seam where they meet — revenue drops leaking out at the boundary between domains. Separate billing clocks above each half showing different time lags. Undetected leakage at the domain boundary aesthetic. Clean isometric on dark background.","Rich Charcoal #1A1A1A background; Cyber Emerald #00D1B2 terrestrial half; Safety Amber #F4A261 satellite half; Red #DC2626 revenue drops leaking"
Networks,Challenge Icon,Convergence Without a Convergence Platform,challenge-networks-convergence-gap.png,400x400,"Minimal 3D abstract icon: two infrastructure stacks — terrestrial toolchain on the left, satellite toolchain on the right — with a 3GPP NTN standard bridge spanning between them at the top (UE/radio layer) but a wide empty gap below at the operations layer. Standards connect the edges but operations remain fragmented. Clean isometric on dark background.","Rich Charcoal #1A1A1A background; Cyber Emerald #00D1B2 thin standards bridge; Safety Amber #F4A261 operations gap; muted gray toolchain stacks"
Networks,Secondary Capability,Autonomous Fault Remediation,cap-networks-fault-remediation.png,800x600,"Abstract 3D illustration: an intelligent automation engine at the center of a network topology. Fault signals arriving from multiple domains — terrestrial tower, satellite ground station, orbital asset — being processed through an AI reasoning pipeline that diagnoses, recommends, and executes remediation. Playbook shapes flowing outward as automated responses. Institutional knowledge being captured and reused. Soft volumetric lighting, professional abstract style.","Cyber Emerald #00D1B2 automation engine; Safety Amber #F4A261 fault signals; Rich Charcoal #1A1A1A background; white remediation flows"
Networks,Secondary Capability,Multi-Orbit Capacity Orchestration,cap-networks-multi-orbit.png,800x600,"Abstract 3D illustration: dynamic traffic steering visualization showing data flows being routed across multiple orbital layers (GEO, MEO, LEO rings) and terrestrial paths simultaneously. An intelligent orchestrator in the center predicts satellite pass windows and steers traffic in real-time based on demand, weather overlay, and orbital mechanics. Ephemeris-aware planning aesthetic with predictive timeline elements. Soft volumetric lighting.","Cyber Emerald #00D1B2 LEO paths; Forest Green #0f4c3a GEO ring; Safety Amber #F4A261 MEO layer; Rich Charcoal #1A1A1A background"
Networks,Secondary Capability,Teleport & Ground Segment Command,cap-networks-teleport.png,800x600,"Abstract 3D illustration: a satellite ground station operations center with real-time monitoring of multiple antenna systems, RF chains, and modems. Sub-minute anomaly detection visualized as fast-response alert pathways. Automated failover switching between redundant ground paths. Mission-critical reliability aesthetic with precision and speed implied. Soft volumetric lighting.","Cyber Emerald #00D1B2 monitoring pathways; Safety Amber #F4A261 anomaly alerts; Rich Charcoal #1A1A1A background; cool blue antenna shapes"
Networks,Secondary Capability,Space Domain Awareness Integration,cap-networks-sda.png,800x600,"Abstract 3D illustration: orbital threat awareness merged with ground operations picture. Conjunction assessment paths connecting to satellite assets, with impact chains flowing down to ground infrastructure dependencies and mission continuity indicators. Threat-to-impact-to-response in one integrated view. Military-grade intelligence aesthetic with operational clarity. Soft volumetric lighting.","Intelligence Navy #0A1128 background; Red #DC2626 threat vectors; Cyber Emerald #00D1B2 operational picture; Safety Amber #F4A261 impact chains"
