pillar,image_type,title,output_filename,dimensions,scene_prompt,palette
Transportation,capability,Berth Management,cap-transport-berth-mgmt.png,800x600,"Mooring rope on dock bollard, secured and systematic—connection point rendered as nautical precision. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Macro on rope coil on bollard, shallow depth of field. Forest green (#0f4c3a) dithered tones, with teal (#00D1B2) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Waterfront daylight. No text, no logos, no faces.",Green + Teal duotone
Transportation,capability,Cross-Node Coordination,cap-transport-cross-node.png,800x600,"Rail switches at junction from above, diverging paths—routing decisions rendered as infrastructure geometry. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Macro on switch mechanism at divergence point, shallow depth of field. Forest green (#0f4c3a) dithered tones, with teal (#00D1B2) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Daylight industrial. No text, no logos, no faces.",Green + Teal duotone
Transportation,capability,Maritime Sovereignty,cap-transport-maritime-sovereignty.png,800x600,"Ship bow cutting through dark water at dawn—sovereignty in motion rendered as kinetic power. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Macro on bow and water interaction with spray, shallow depth of field. Forest green (#0f4c3a) dithered tones, with teal (#00D1B2) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Dawn maritime light. No text, no logos, no faces.",Green + Teal duotone
Transportation,capability,Runway Intelligence,cap-transport-runway.png,800x600,"Runway centerline markings receding in perspective—precision guidance rendered as linear authority. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Perspective composition down runway showing markings, shallow depth of field. Forest green (#0f4c3a) dithered tones, with teal (#00D1B2) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Clear daylight. No text, no logos, no faces.",Green + Teal duotone
Transportation,capability,Corridor Throughput,cap-transport-corridor.png,800x600,"Highway from above at night, slow-shutter light trails—throughput flow rendered as kinetic pattern. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Aerial long exposure capturing light trails, shallow depth of field. Forest green (#0f4c3a) dithered tones, with teal (#00D1B2) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Night highway. No text, no logos, no faces.",Green + Teal duotone
Transportation,capability,Customs & Border,cap-transport-customs.png,800x600,"Biometric scanning gates at automated border control, passport reader glowing—marks of verified passage rendered as computational precision. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Macro on series of stamps showing pattern, shallow depth of field. Forest green (#0f4c3a) dithered tones, with teal (#00D1B2) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Document light. No text, no logos, no faces.",Green + Teal duotone
Transportation,capability,Routing & Prediction,cap-transport-routing.png,800x600,"GPS compass instrument detail—navigation and prediction rendered as magnetic authority. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Macro on compass showing cardinal points and direction, shallow depth of field. Forest green (#0f4c3a) dithered tones, with teal (#00D1B2) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Warm ambient light. No text, no logos, no faces.",Green + Teal duotone
Transportation,capability,Sovereign Information Sharing,cap-transport-sovereign-sharing.png,800x600,"Radio equipment array, aligned and systematic—coordinated communication rendered as institutional precision. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Macro on equipment array showing alignment, shallow depth of field. Forest green (#0f4c3a) dithered tones, with teal (#00D1B2) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Institutional light. No text, no logos, no people.",Green + Teal duotone
Water & Environment,capability,Hydraulic Correlation,cap-water-hydraulic-correlation.png,800x600,"Water pressure gauge on pipe in field, sensor on infrastructure—monitoring the flow rendered as mechanical measurement. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Macro on gauge and pipe detail, shallow depth of field. Forest green (#0f4c3a) dithered tones. Rich cinematic photography with visible dithering bands and limited color palette, deep green monochrome. Field daylight. No text, no logos, no faces.",Green monochrome
Water & Environment,capability,Leak Detection,cap-water-leak-detection.png,800x600,"Single water drop hanging from pipe joint, about to fall—the moment before signal rendered as critical suspension. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Extreme macro on drop detail showing crystalline edge, shallow depth of field. Forest green (#0f4c3a) dithered tones. Rich cinematic photography with visible dithering bands and limited color palette, deep green monochrome. Controlled light. No text, no logos, no faces.",Green monochrome
