pillar,image_type,title,output_filename,dimensions,scene_prompt,palette
Energy,capability,SCADA Overlay Modernization,cap-energy-scada-overlay.png,800x600,"Water flowing through aged stone aqueduct, old infrastructure carrying modern cascade with deliberate purpose. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Macro composition showing one channel section in sharp focus with shallow depth of field. Forest green (#0f4c3a) dithered tones, with amber (#F4A261) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Golden hour light warming the stone. No text, no logos, no faces.",Green + Amber duotone
Energy,capability,Pipeline Integrity & Security,cap-energy-pipeline.png,800x600,"River current in macro, silk water flowing over smooth stone with erosion patterns visible—persistent flow intelligence. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Aerial macro on the riverbed with visible wear patterns, shallow depth of field. Forest green (#0f4c3a) dithered tones, with amber (#F4A261) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Blue hour light catching flowing water. No text, no logos, no faces.",Green + Amber duotone
Energy,capability,Cross-Domain Correlation,cap-energy-cross-domain.png,800x600,"Two streams converging at confluence, mixing patterns in water where different currents merge—signal correlation made visible. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Tight macro composition of exact moment of convergence, shallow depth of field with meeting point sharp. Forest green (#0f4c3a) dithered tones, with amber (#F4A261) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Golden hour light. No text, no logos, no faces.",Green + Amber duotone
Energy,capability,DER Integration,cap-energy-der.png,800x600,"Sensor array in agricultural field, dozens of identical IoT nodes in geometric rows—distributed sensing mesh at 2030 scale. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Macro on a cluster of sensors showing repeated geometry, shallow depth of field. Forest green (#0f4c3a) dithered tones, with amber (#F4A261) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Dawn light on sensor array. No text, no logos, no faces.",Green + Amber duotone
Energy,capability,Grid Storm Response,cap-energy-storm-response.png,800x600,"Lightning frozen mid-branch across sky—branching energy, rapid response rendered as geometric power. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Tight macro on the bolt's primary branch with shallow depth of field. Forest green (#0f4c3a) dithered tones, with amber (#F4A261) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Raw electrical intensity. No text, no logos, no faces.",Green + Amber duotone
Energy,capability,Compliance Automation,cap-energy-compliance.png,800x600,"Algorithm timing gates interlocking in 2030 data center—precision governance rendered as computational certainty. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Extreme macro on server rack status LEDs and timing modules at engagement point, shallow depth of field. Forest green (#0f4c3a) dithered tones, with amber (#F4A261) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Warm tungsten studio light. No text, no logos, no faces.",Green + Amber duotone
Energy,capability,AI-Powered Operator Guidance,cap-energy-operator-guidance.png,800x600,"Autonomous control interface touchscreen in industrial setting, operator's hands near haptic feedback, deliberate control of 2030 system—human directing machine intelligence. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Macro composition on hands and wheel rim section, shallow depth of field. Forest green (#0f4c3a) dithered tones, with amber (#F4A261) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Golden hour across weathered skin. No text, no logos, no identifiable faces.",Green + Amber duotone
Smart Cities,capability,Unified City Operations,cap-cities-operations-center.png,800x600,"City intersection from directly above at dusk, flow patterns of pedestrians and vehicles—the urban nervous system. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Wide aerial composition centered on intersection, shallow depth of field. Forest green (#0f4c3a) dithered tones, with amber (#F4A261) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Blue hour transition. No text, no logos, no faces.",Green + Amber duotone
Smart Cities,capability,Cross-Agency Emergency Response,cap-cities-cross-agency.png,800x600,"Emergency vehicle light trails converging at intersection—multi-agent response coordination rendered as flowing urgency. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Long exposure capturing motion blur of light trails, shallow depth of field. Forest green (#0f4c3a) dithered tones, with amber (#F4A261) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Night urban intensity. No text, no logos, no faces.",Green + Amber duotone
Smart Cities,capability,AI Urban Surveillance,cap-cities-surveillance.png,800x600,"Smart city sensor pole in macro, cameras and environmental sensors stacked—2030 ambient intelligence infrastructure. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Tight macro on sensor cluster, shallow depth of field showing device details. Forest green (#0f4c3a) dithered tones, with amber (#F4A261) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Dusk urban light. No text, no logos, no faces.",Green + Amber duotone
