pillar,image_type,title,output_filename,dimensions,scene_prompt,palette
Smart Cities,Secondary Capability,Smart Infrastructure Monitoring,cap-cities-infra-monitoring.png,800x600,"Abstract 3D isometric visualization of a city block with glowing sensor nodes embedded in roads, bridges, and utility poles. Transparent layers reveal underground pipe networks and above-ground power lines with pulsing data connections between them. Dark background with teal node highlights. Geometric, clean, minimal.","Rich Charcoal #1A1A1A background; Cyber Emerald #00D1B2 sensor nodes; Forest Green #0f4c3a infrastructure lines; Safety Amber #F4A261 alert indicators"
Smart Cities,Secondary Capability,Municipal Fleet Optimization,cap-cities-fleet.png,800x600,"Abstract 3D visualization of interconnected vehicle icons arranged in an optimized network pattern. Glowing route lines connect municipal vehicles (waste trucks, emergency, utility) to assignment zones. Top-down perspective with dark background. Clean geometric style suggesting algorithmic routing and real-time coordination.","Rich Charcoal #1A1A1A background; Cyber Emerald #00D1B2 route lines; Safety Amber #F4A261 vehicle nodes; Intelligence Navy #0A1128 zones"
Smart Cities,Secondary Capability,Environmental Intelligence,cap-cities-environmental.png,800x600,"Abstract 3D rendering of atmospheric monitoring — layered translucent planes representing air quality zones, with particle density visualizations and weather data streams flowing between them. Organic shapes meeting geometric data structures. Dark background with green and teal accents.","Rich Charcoal #1A1A1A background; Forest Green #0f4c3a vegetation layers; Cyber Emerald #00D1B2 data streams; Safety Amber #F4A261 alert thresholds"
Smart Cities,Secondary Capability,Water Infrastructure Intelligence,cap-cities-water-intel.png,800x600,"Abstract 3D cross-section of underground water network — glowing pipe systems with flow direction arrows, pressure nodes, and leak detection indicators. Translucent earth layers above. Dark background with flowing water represented as luminous teal streams. Clean technical visualization.","Rich Charcoal #1A1A1A background; Cyber Emerald #00D1B2 water flow; Safety Amber #F4A261 pressure alerts; Cool Blue data overlays"
Defense,Secondary Capability,Automated Force Protection,cap-defense-force-protection.png,800x600,"Abstract 3D shield-like geometric structure with layered defense perimeters radiating outward from a central command node. Each layer represented as a translucent hexagonal mesh with sensor points. Automated response vectors shown as directional arrows. Dark background with red and teal accent lighting.","Intelligence Navy #0A1128 background; Cyber Emerald #00D1B2 sensor mesh; Red #DC2626 alert vectors; Safety Amber #F4A261 perimeter lines"
Defense,Secondary Capability,Logistics Intelligence,cap-defense-logistics.png,800x600,"Abstract 3D supply chain network — interconnected nodes representing supply depots, vehicle convoys, and mission endpoints. Glowing pathways show optimized routes with time compression indicators. Minimal military aesthetic with dark background and precision geometric routing.","Intelligence Navy #0A1128 background; Cyber Emerald #00D1B2 optimal routes; Safety Amber #F4A261 supply nodes; Metallic gray convoy elements"
Defense,Secondary Capability,Compliance Audit Trails,cap-defense-compliance.png,800x600,"Abstract 3D visualization of parallel audit trail lines flowing from left to right, each connecting through verification checkpoints represented as glowing nodes. Clean, ordered, suggesting traceability and lineage. Document-like shapes at origin points. Dark background.","Rich Charcoal #1A1A1A background; Cyber Emerald #00D1B2 verification nodes; Forest Green #0f4c3a trail lines; Safety Amber #F4A261 checkpoint markers"
Defense,Secondary Capability,Space Domain Awareness,cap-defense-space-awareness.png,800x600,"Abstract 3D orbital visualization — Earth silhouette with orbital rings containing tracked satellite objects as glowing dots. Detection arcs sweep from ground-based stations upward. Star field background with clean geometric orbital mechanics. Precision tracking aesthetic.","Deep Intelligence Navy #0A1128 space; Cyber Emerald #00D1B2 tracking arcs; White satellite points; Safety Amber #F4A261 alert objects"
Defense,Secondary Capability,National Security Intelligence,cap-defense-national-intel.png,800x600,"Abstract 3D geographic intelligence visualization — stylized map with overlapping intelligence layers represented as translucent colored planes. Connection lines between geographic points of interest. Classified document aesthetic with redacted sections. Dark background with precision data overlay.","Intelligence Navy #0A1128 background; Cyber Emerald #00D1B2 intel connections; Safety Amber #F4A261 points of interest; Red #DC2626 threat indicators"
Energy,Secondary Capability,DER Integration,cap-energy-der.png,800x600,"Abstract 3D visualization of distributed energy resources converging into a unified grid view — solar panel icons, wind turbine shapes, battery storage cubes, and EV charger nodes all connecting via luminous data lines to a central grid management node. Dark background with clean geometric energy flow.","Rich Charcoal #1A1A1A background; Cyber Emerald #00D1B2 grid connections; Safety Amber #F4A261 DER nodes; Forest Green #0f4c3a solar accents"
