pillar,image_type,title,output_filename,dimensions,scene_prompt,palette
Energy,challenge,Legacy SCADA Limitations,challenge-energy-scada.png,400x400,"Macro close-up of a corroded analog gauge face with needle stuck frozen in error state, cursor blinking on dashboard, glass cracked, numerals barely visible under corrosion. 90s digital compression dithering — Bayer matrix ordered dithering visible in all gradients. Duotone: forest green (#0f4c3a) and amber (#F4A261) on white. High contrast, more desaturated than normal — this is a system in failure state. 90s SGI workstation render aesthetic. Mood: the sensor that stopped reporting, stasis, legacy data source refusing to yield.","Forest green (#0f4c3a), Amber (#F4A261)"
Energy,challenge,Vendor-Siloed Operations,challenge-energy-vendor-silos.png,400x400,"Aerial close-up of a river split unnaturally by rock formation, water forced into separate channels flowing parallel but never reconnecting, each showing different sediment density. 90s digital compression dithering — Bayer matrix ordered dithering visible in all gradients. Duotone: forest green (#0f4c3a) and amber (#F4A261) on white. High contrast, more desaturated than normal — fragmented flow never unifying. 90s SGI workstation render aesthetic. Mood: signal loss when vendors refuse to bridge channels.","Forest green (#0f4c3a), Amber (#F4A261)"
Energy,challenge,DER Complexity,challenge-energy-der-complexity.png,400x400,"Extreme close-up of tangled tree roots exposed above ground, twisted knotted unpredictably, disappearing into shadow with no clear endpoint, surface cracked from root pressure. 90s digital compression dithering — Bayer matrix ordered dithering visible in all gradients. Duotone: forest green (#0f4c3a) and amber (#F4A261) on white. High contrast, more desaturated than normal — complexity without hierarchy. 90s SGI workstation render aesthetic. Mood: blindness into a system that hides its own structure.","Forest green (#0f4c3a), Amber (#F4A261)"
Energy,challenge,Fragmented Visibility,challenge-energy-fragmented.png,400x400,"Close-up of thick fog rolling across sensor field, power lines visible but indistinct, distant infrastructure barely perceptible through haze layers, instruments fading into opacity. 90s digital compression dithering — Bayer matrix ordered dithering visible in all gradients. Duotone: forest green (#0f4c3a) and amber (#F4A261) on white. High contrast, more desaturated than normal — this is blindness. 90s SGI workstation render aesthetic. Mood: signal loss when sensing infrastructure vanishes into noise.","Forest green (#0f4c3a), Amber (#F4A261)"
Smart Cities,challenge,Departmental Data Silos,challenge-cities-silos.png,400x400,"Aerial close-up of concrete barriers dividing street into isolated lanes, lane markings interrupted discontinuously, thick mortar lines creating enforced disconnection, each lane showing different wear patterns. 90s digital compression dithering — Bayer matrix ordered dithering visible in all gradients. Duotone: forest green (#0f4c3a) and amber (#F4A261) on white. High contrast, more desaturated than normal — fragmentation by design. 90s SGI workstation render aesthetic. Mood: institutional walls preventing coordination.","Forest green (#0f4c3a), Amber (#F4A261)"
Smart Cities,challenge,Vendor Lock-In,challenge-cities-vendor-lock.png,400x400,"Macro close-up of corroded padlock and chain on weathered gate, lock frozen immobile, rust blooming across mechanism, hinges seized completely. 90s digital compression dithering — Bayer matrix ordered dithering visible in all gradients. Duotone: forest green (#0f4c3a) and amber (#F4A261) on white. High contrast, more desaturated than normal — stasis and containment. 90s SGI workstation render aesthetic. Mood: the moment when legacy systems refuse to yield data.","Forest green (#0f4c3a), Amber (#F4A261)"
Smart Cities,challenge,Reactive Operations,challenge-cities-reactive.png,400x400,"Extreme close-up of cracked asphalt with spider-web fracture lines spreading, pothole edges loose and crumbling, stagnant water pooling in cracks, decay visible in every surface. 90s digital compression dithering — Bayer matrix ordered dithering visible in all gradients. Duotone: forest green (#0f4c3a) and amber (#F4A261) on white. High contrast, more desaturated than normal — decay from stasis. 90s SGI workstation render aesthetic. Mood: infrastructure that failed to warn before collapse.","Forest green (#0f4c3a), Amber (#F4A261)"
Smart Cities,challenge,Multi-Agency Gaps,challenge-cities-coordination.png,400x400,"Close-up of pedestrian crosswalk markings on pavement, white lines interrupted misaligned, gaps widening between broken sections, paint faded worn through revealing concrete below. 90s digital compression dithering — Bayer matrix ordered dithering visible in all gradients. Duotone: forest green (#0f4c3a) and amber (#F4A261) on white. High contrast, more desaturated than normal — coordination infrastructure degraded. 90s SGI workstation render aesthetic. Mood: the system designed to synchronize, now failing.","Forest green (#0f4c3a), Amber (#F4A261)"
Networks,challenge,Multi-Vendor NMS Fragmentation,challenge-networks-nms-fragment.png,400x400,"Macro close-up of shattered mirror surface, fragments reflecting industrial landscape at impossible angles, some shards loose and scattered, sharp edges catching dim light. 90s digital compression dithering — Bayer matrix ordered dithering visible in all gradients. Duotone: forest green (#0f4c3a) and teal (#00D1B2) on white. High contrast, more desaturated than normal — fragmented view. 90s SGI workstation render aesthetic. Mood: the unified view shattered into incompatible reflections.","Forest green (#0f4c3a), Teal (#00D1B2)"
Networks,challenge,Fault Correlation Issues,challenge-networks-fault-correlation.png,400x400,"Extreme close-up of tightly tangled network cables twisted impossibly, multiple colors knotted overlapping, no clear endpoints or routing path, insulation fraying showing core conductors disconnected. 90s digital compression dithering — Bayer matrix ordered dithering visible in all gradients. Duotone: forest green (#0f4c3a) and teal (#00D1B2) on white. High contrast, more desaturated than normal — complexity without resolution. 90s SGI workstation render aesthetic. Mood: signal loss because tracing cause through chaos is impossible.","Forest green (#0f4c3a), Teal (#00D1B2)"
