pillar,image_type,title,output_filename,dimensions,scene_prompt,palette
Broadcast & Media,Featured Capability,Multi-Technology Signal Unification,cap-broadcast-signal-unification.png,800x600,"Abstract 3D illustration: multiple broadcast signal formats converging into a unified monitoring dashboard. SMPTE ST 2110 IP packets, SDI waveforms, satellite L-Band signals, and SRT streams all flowing into a single glass-panel command center. Each signal type has a distinct visual signature but all normalize into one clean operational view. Professional broadcast operations aesthetic with deep blue and teal lighting. Soft volumetric lighting, no text.","Intelligence Navy #0A1128 background; Cyber Emerald #00D1B2 unified view; Safety Amber #F4A261 signal streams; cool blue broadcast panels"
Broadcast & Media,Featured Capability,Live Production Orchestration,cap-broadcast-live-production.png,800x600,"Abstract 3D illustration: a live broadcast production control room with real-time resource orchestration. Camera feeds, encoder racks, and transmission equipment shown as abstract connected nodes being dynamically routed and failed-over during a live event. Virtual signal groups as luminous pathway configurations. Urgency and precision of live television. Soft volumetric lighting, no text.","Rich Charcoal #1A1A1A background; Cyber Emerald #00D1B2 active signal paths; Red #DC2626 failover alerts; Safety Amber #F4A261 live indicators"
Broadcast & Media,Featured Capability,Cross-Domain Compound Intelligence,cap-broadcast-compound-intel.png,800x600,"Abstract 3D illustration: a satellite transponder failure cascading through connected systems — production workflows, SLA impact calculations, and recovery recommendations all triggered simultaneously from a single event. Cause-and-effect chains visualized as branching intelligence pathways across production, facility, and distribution domains. Soft volumetric lighting, no text.","Intelligence Navy #0A1128 background; Red #DC2626 failure origin; Safety Amber #F4A261 impact chains; Cyber Emerald #00D1B2 recovery paths"
Defense,Featured Capability,Federated Command,cap-defense-federated-command.png,800x600,"Abstract 3D illustration: a central command hub connected to 12+ distributed installation nodes arranged in a network topology. Each installation maintains local autonomy shown as self-contained operational bubbles, while secure data pathways flow upward to a centralized oversight layer. Military command and control aesthetic with secure encrypted connections. No network consolidation — federated architecture. Soft volumetric lighting, no text.","Intelligence Navy #0A1128 background; Cyber Emerald #00D1B2 secure connections; Safety Amber #F4A261 command overlay; muted gray installation nodes"
Energy,Featured Capability,Cross-Domain Correlation,cap-energy-cross-domain.png,800x600,"Abstract 3D illustration: an AI correlation engine at the center processing multiple data streams simultaneously — operational SCADA events, physical security camera feeds, weather radar data, and external threat intelligence. Cross-domain pattern recognition visualized as connecting threads between seemingly unrelated events that reveal compound threats. Energy grid aesthetic with power lines and substations. Soft volumetric lighting, no text.","Rich Charcoal #1A1A1A background; Cyber Emerald #00D1B2 correlation threads; Red #DC2626 compound threat indicators; Safety Amber #F4A261 data streams"
Industrial,Featured Capability,Predictive Maintenance,cap-industrial-predictive-maint.png,800x600,"Abstract 3D illustration: industrial equipment with multi-sensor monitoring — vibration sensors, thermal cameras, and pressure gauges feeding data into a predictive AI model. A timeline projection showing predicted failure 2-4 weeks in the future with confidence intervals. Compound failure mode detection where multiple sensor anomalies combine to reveal issues single-variable monitoring misses. Factory floor aesthetic. Soft volumetric lighting, no text.","Rich Charcoal #1A1A1A background; Cyber Emerald #00D1B2 healthy sensors; Safety Amber #F4A261 degradation predictions; Red #DC2626 predicted failure point"
Cities,Featured Capability,Unified City Operations Center,cap-cities-operations-center.png,800x600,"Abstract 3D illustration: a futuristic city operations center consolidating multiple agency views into one common operating picture. Traffic management, public safety, utilities, emergency services, and environmental monitoring — each as a department layer merging into a single glass dashboard. Role-based workspaces shown as configurable panels. Smart city command center aesthetic. Soft volumetric lighting, no text.","Intelligence Navy #0A1128 background; Cyber Emerald #00D1B2 unified dashboard; Safety Amber #F4A261 department layers; cool blue city elements"
Cities,Featured Capability,AI Urban Surveillance,cap-cities-surveillance.png,800x600,"Abstract 3D illustration: a city-wide surveillance intelligence network with camera nodes across an urban landscape. Behavioral analytics shown as pattern recognition overlays on video feeds. Multi-sensor fusion integrating gunshot detection pulses, license plate recognition highlights, and access control events into a unified security picture. 85% noise reduction visualized. Soft volumetric lighting, no text.","Intelligence Navy #0A1128 background; Cyber Emerald #00D1B2 analytics overlays; Red #DC2626 threat detection; Safety Amber #F4A261 sensor fusion nodes"
Transportation,Featured Capability,Berth Management and Scheduling,cap-transport-berth-mgmt.png,800x600,"Abstract 3D illustration: a port terminal with vessel arrival predictions and optimal berth assignment visualization. Ships approaching a harbor with predicted arrival times, water depth indicators, cargo type classifications, and discharge time estimates. A scheduling timeline showing 72-hour advance berth optimization. Maritime logistics precision aesthetic. Soft volumetric lighting, no text.","Intelligence Navy #0A1128 background; Cyber Emerald #00D1B2 optimal assignments; Safety Amber #F4A261 prediction indicators; cool blue maritime elements"
Transportation,Featured Capability,Cross-Node Coordination,cap-transport-cross-node.png,800x600,"Abstract 3D illustration: interconnected transportation nodes — a port, airport, highway corridor, and border crossing — each enriching the others with real-time operational data. Vessel discharge timing flowing to corridor traffic planning. Flight arrivals optimizing ground operations. Corridor incidents coordinating with border authorities. A living network of transportation intelligence. Soft volumetric lighting, no text.","Rich Charcoal #1A1A1A background; Cyber Emerald #00D1B2 data flows between nodes; Safety Amber #F4A261 coordination events; cool blue transportation nodes"
