pillar,image_type,title,output_filename,dimensions,scene_prompt,palette
Defense,capability,Perimeter Protection,cap-defense-perimeter.png,800x600,"Razor wire against dawn sky, geometric repeating pattern—systematic boundary rendered as sharp geometry. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Macro on wire geometry with receding perspective, shallow depth of field. Forest green (#0f4c3a) dithered tones. Rich cinematic photography with visible dithering bands and limited color palette, austere. Dawn industrial light. No text, no logos, no people.",Green monochrome
Defense,capability,Federated Command,cap-defense-federated-command.png,800x600,"Antenna array in systematic rows, geometric military precision—coordinated signal rendered as industrial choreography. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Macro on antenna section showing repeating elements, shallow depth of field. Forest green (#0f4c3a) dithered tones. Rich cinematic photography with visible dithering bands and limited color palette, austere. Overcast industrial light. No text, no logos, no people.",Green monochrome
Defense,capability,Automated Force Protection,cap-defense-force-protection.png,800x600,"Infrared sensor housing macro, the eye of detection—ambient awareness rendered as technological vigilance. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Extreme macro on sensor lens and housing, shallow depth of field. Forest green (#0f4c3a) dithered tones. Rich cinematic photography with visible dithering bands and limited color palette, austere. Cold technical light. No text, no logos, no people.",Green monochrome
Defense,capability,Logistics Intelligence,cap-defense-logistics.png,800x600,"Cargo containers from above in precise geometric stacking—logistics at scale rendered as abstract composition. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Aerial macro on corner stack section, shallow depth of field. Forest green (#0f4c3a) dithered tones. Rich cinematic photography with visible dithering bands and limited color palette, austere. Overhead industrial light. No text, no logos, no people.",Green monochrome
Defense,capability,Compliance Audit Trails,cap-defense-compliance.png,800x600,"Biometric access panel with cryptographic key visualization, security module—secured record rendered as algorithmic governance. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Extreme macro on lock with key detail, shallow depth of field. Forest green (#0f4c3a) dithered tones with minimal brass accent. Rich cinematic photography with visible dithering bands and limited color palette, austere. Cold institutional light. No text, no logos, no people.",Green monochrome
Defense,capability,Space Domain Awareness,cap-defense-space-domain.png,800x600,"Radar dish silhouette against overcast, slowly rotating—patient watching rendered as systematic vigilance. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Macro on dish structure with receding sky, shallow depth of field. Forest green (#0f4c3a) dithered tones. Rich cinematic photography with visible dithering bands and limited color palette, austere. Overcast industrial light. No text, no logos, no people.",Green monochrome
Defense,capability,National Security Intelligence,cap-defense-national-intel.png,800x600,"Encrypted device dial in macro, numbers and markings—coded intelligence rendered as mechanical cipher. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Extreme macro on rotary dial and symbols, shallow depth of field. Forest green (#0f4c3a) dithered tones with minimal metallic accent. Rich cinematic photography with visible dithering bands and limited color palette, austere. Cold technical light. No text, no logos, no people.",Green monochrome
Industrial,capability,Predictive Maintenance,cap-industrial-predictive-maint.png,800x600,"Train wheel on rail macro, contact point where stress meets infrastructure—predictive sensing rendered as wear pattern. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Macro on wheel-rail interface with visible patterns, shallow depth of field. Forest green (#0f4c3a) dithered tones, with amber (#F4A261) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Industrial daylight. No text, no logos, no faces.",Green + Amber duotone
Industrial,capability,Operator Guidance,cap-industrial-operator-guidance.png,800x600,"Real-time navigation dashboard with GPS coordinates and routing vectors, compass rose glowing—deliberate navigation through complexity rendered as magnetic certainty. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Macro on compass face with cardinal markings, shallow depth of field. Forest green (#0f4c3a) dithered tones, with amber (#F4A261) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Warm interior light. No text, no logos, no faces.",Green + Amber duotone
Industrial,capability,Quality Prediction,cap-industrial-quality.png,800x600,"Magnifying lens over micro detail—the act of precision inspection rendered as magnified scrutiny at scale. Cinematic large-format photograph with 90s digital compression dithering — like a cinematic frame artificially compressed to limited color depth. Extreme dithered dot pattern visible throughout — the dithering creates all tonal variation like a 90s compressed digital frame. Macro with lens in frame and detail below magnified, shallow depth of field. Forest green (#0f4c3a) dithered tones, with amber (#F4A261) in highlights. Rich cinematic photography with visible dithering bands and limited color palette. Inspection light. No text, no logos, no faces.",Green + Amber duotone
